aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.4738,0.94761,-0.1771,-0.9845,-32.11,-67.72,-0.47,Unusable
143844,0.56826,1.13651,-0.3737,-1.1811,-41.29,-69.74,-0.59,Unusable
206913,0.68154,1.36308,-0.6089,-1.4162,-50.68,-72.0,-0.7,Unusable
297635,0.81741,1.63482,-0.8895,-1.6968,-60.02,-74.5,-0.81,Unusable
428133,0.98036,1.96073,-1.2231,-2.0304,-68.93,-77.22,-0.89,Unusable
615848,1.1758,2.35161,-1.6174,-2.4248,-77.07,-81.15,-0.95,Unusable
885866,1.41021,2.82041,-2.0798,-2.8872,-84.1,-86.93,-0.97,Unusable
1274274,1.69134,3.38267,-2.6156,-3.423,-89.77,-91.68,-0.98,Unusable
1832980,2.02851,4.05702,-3.2261,-4.0334,-93.99,-95.34,-0.99,Unusable
2636650,2.4329,4.8658,-3.906,-4.7134,-96.85,-97.69,-0.99,Unusable
3792690,2.91791,5.83582,-4.6409,-5.4482,-98.55,-99.01,-1.0,Unusable
5455594,3.49961,6.99921,-5.4055,-6.2129,-99.44,-99.65,-1.0,Unusable
7847599,4.19727,8.39454,-6.166,-6.9733,-99.82,-99.9,-1.0,Unusable
11288378,5.03401,10.06802,-6.8847,-7.6921,-99.96,-99.98,-1.0,Unusable
16237767,6.03756,12.07512,-7.5288,-8.3362,-99.99,-100.0,-1.0,Unusable
23357214,7.24117,14.48234,-8.0769,-8.8842,-100.0,-100.0,-1.0,Unusable
33598182,8.68473,17.36945,-8.5217,-9.3291,-100.0,-100.0,-1.0,Unusable
48329302,10.41606,20.83212,-8.8685,-9.6758,-100.0,-100.0,-1.0,Unusable
69519279,12.49255,24.98509,-9.1302,-9.9376,-100.0,-100.0,-1.0,Unusable
100000000,14.98298,29.96597,-9.3229,-10.1303,-100.0,-100.0,-1.0,Unusable
