window_days,min_cum_ret,start_idx,end_idx
1,-0.142120,264,264
3,-0.229405,90,92
7,-0.324060,86,92
14,-0.367675,79,92
21,-0.412830,87,107
30,-0.469425,84,113
40,-0.533225,84,123
50,-0.588995,84,133
60,-0.627385,77,136
70,-0.657855,77,146
80,-0.585640,72,151
90,-0.449130,40,129
100,-0.489005,34,133
