n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,0.8073,40.01,-55.417,0.0,0.0
1,23.5%,0.5397,15.4,-55.417,-0.2676,-24.61
3,"23.5%, 20.1%, 19.6%",0.019,-17.36,-55.417,-0.7883,-57.36
5,"23.5%, 20.1%, 19.6%, 19.2%, 18.6%",-0.5701,-40.15,-56.251,-1.3774,-80.16
10,"23.5%, 20.1%, 19.6%, 19.2%, 18.6% … +5 more",-2.0939,-69.07,-77.404,-2.9012,-109.08
