slippage_one_way_pct,round_trip_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
0.05,0.1,0.7041,-0.1033,29.75,-56.9,0.52,Unusable
0.1,0.2,0.6006,-0.2067,20.24,-58.34,0.35,Unusable
0.25,0.5,0.289,-0.5183,-4.36,-62.38,-0.07,Unusable
0.5,1.0,-0.2317,-1.039,-34.79,-68.29,-0.51,Unusable
1.0,2.0,-1.263,-2.0703,-69.86,-77.53,-0.9,Unusable
