L_HIGH,PORT_TSL,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.8,0.04,0.3771,6.69,-24.342,-4.194,0.275,4.2882,False
0.8,0.045,0.666,14.9,-20.009,-4.194,0.745,4.7974,False
0.8,0.05,0.5713,12.25,-22.562,-4.194,0.543,4.0865,False
0.8,0.055,0.4984,10.21,-23.162,-4.238,0.441,4.4144,False
0.8,0.06,0.3825,6.93,-24.808,-4.528,0.279,4.5555,False
0.8,0.065,0.6279,14.06,-23.6,-4.858,0.596,3.6416,False
0.8,0.075,0.7925,19.3,-24.275,-5.168,0.795,2.7098,False
0.8,0.08,0.7925,19.3,-24.275,-5.168,0.795,2.7098,False
0.8,0.085,0.7771,18.84,-24.59,-5.168,0.766,2.7098,False
0.8,0.09,0.7529,18.13,-25.084,-5.168,0.723,2.7098,False
0.8,0.095,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.8,0.1,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.8,0.105,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.8,0.11,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.8,0.115,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.8,0.12,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.8,0.125,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.8,0.13,0.8084,19.77,-23.946,-5.168,0.826,2.7098,False
0.9,0.04,0.3771,7.08,-27.037,-4.718,0.262,4.2882,False
0.9,0.045,0.666,16.4,-22.316,-4.718,0.735,4.7974,False
0.9,0.05,0.5713,13.36,-25.109,-4.718,0.532,4.0865,False
0.9,0.055,0.4984,11.04,-25.764,-4.768,0.429,4.4144,False
0.9,0.06,0.3825,7.32,-27.559,-5.094,0.265,4.5555,False
0.9,0.065,0.6279,15.4,-26.245,-5.465,0.587,3.6416,False
0.9,0.075,0.7925,21.38,-26.98,-5.814,0.792,2.7098,False
0.9,0.08,0.7925,21.38,-26.98,-5.814,0.792,2.7098,False
0.9,0.085,0.7771,20.85,-27.324,-5.814,0.763,2.7098,False
