shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,0.8073,40.01,-55.417,0.0,0.0,True
-10.0,1,0.6696,26.49,-60.091,-0.1377,-4.673,False
-10.0,3,0.4146,4.26,-67.673,-0.3928,-12.256,False
-10.0,5,0.1679,-14.06,-73.816,-0.6394,-18.398,False
-20.0,1,0.5323,13.54,-64.525,-0.2751,-9.108,False
-20.0,3,0.0455,-24.6,-77.296,-0.7618,-21.879,False
-20.0,5,-0.3886,-49.92,-85.469,-1.1959,-30.052,False
-30.0,1,0.3957,0.45,-68.959,-0.4116,-13.542,False
-30.0,3,-0.2689,-47.78,-84.79,-1.0762,-29.373,False
-30.0,5,-0.809,-72.85,-92.547,-1.6164,-37.13,False
-40.0,1,0.2658,-12.79,-73.394,-0.5415,-17.976,False
-40.0,3,-0.5191,-65.83,-90.422,-1.3264,-35.004,False
-40.0,5,-1.1069,-86.61,-96.552,-1.9143,-41.135,False
