Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.2351,7.9,20.0,✓
5,4,0.824,27.7,45.0,✓
10,8,1.4968,50.4,65.0,✓
20,16,2.3937,80.6,,
25,20,2.6522,89.3,,
