threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,0.7916,77,42.78,72,False,Robust plateau | baseline outside
0.975,0.8125,3,1.67,3,False,Robust plateau | baseline outside
0.99,0.825,2,1.11,2,False,Thin plateau | baseline outside
