surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,1.7784,16,25.0,16,False,Robust plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,1.8252,16,25.0,16,False,Robust plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,1.8533,16,25.0,16,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.95,0.7916,77,42.78,72,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.975,0.8125,3,1.67,3,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.99,0.825,2,1.11,2,False,Thin plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,0.768,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.975,0.7882,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.99,0.8003,108,100.0,108,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,0.768,121,61.11,88,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,0.7882,110,55.56,88,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,0.8003,88,44.44,88,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.95,0.7705,72,90.0,72,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.975,0.7908,64,80.0,64,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.99,0.803,48,60.0,40,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,0.7705,72,90.0,72,True,Robust plateau | baseline inside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,0.7908,64,80.0,64,True,Robust plateau | baseline inside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,0.803,48,60.0,40,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,0.8861,40,50.0,40,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,0.9094,8,10.0,8,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,0.9234,8,10.0,8,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,0.8861,48,50.0,48,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,0.9094,8,8.33,8,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,0.9234,8,8.33,8,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,1.0266,2,2.86,2,False,Thin plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,1.0536,2,2.86,2,False,Thin plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,1.0698,2,2.86,2,False,Thin plateau | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,1.9107,1,4.0,1,False,Single-cell peak | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,1.961,1,4.0,1,False,Single-cell peak | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,1.9912,1,4.0,1,False,Single-cell peak | baseline outside
