EARLY_FILL_X,EARLY_FILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
360,0.07,0.5124,13.35,-55.417,-14.212,0.241,3.4042,False
360,0.08,0.7984,42.16,-55.417,-14.212,0.761,2.9222,False
360,0.09,0.8684,50.78,-55.417,-14.212,0.916,2.785,False
360,0.1,0.7508,36.89,-55.417,-14.212,0.666,3.0624,False
360,0.15,0.8637,51.32,-55.417,-14.212,0.926,2.8913,False
360,0.175,0.8874,54.92,-55.417,-14.212,0.991,2.8698,False
360,0.2,0.9327,62.73,-55.417,-14.212,1.132,2.8359,False
360,0.225,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
360,0.25,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
360,0.3,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
540,0.07,0.559,16.91,-56.232,-14.212,0.301,3.157,False
540,0.08,0.5932,19.66,-55.29,-14.212,0.356,2.9862,False
540,0.09,0.7755,36.54,-55.417,-14.212,0.659,2.7045,False
540,0.1,0.6662,26.2,-55.417,-14.212,0.473,2.9246,False
540,0.15,0.8637,51.32,-55.417,-14.212,0.926,2.8913,False
540,0.175,0.8874,54.92,-55.417,-14.212,0.991,2.8698,False
540,0.2,0.9327,62.73,-55.417,-14.212,1.132,2.8359,False
540,0.225,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
540,0.25,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
540,0.3,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
600,0.07,0.5357,15.1,-56.969,-14.212,0.265,3.157,False
600,0.08,0.5865,19.12,-55.512,-14.212,0.344,2.9862,False
600,0.09,0.7755,36.54,-55.417,-14.212,0.659,2.7045,False
600,0.1,0.6662,26.2,-55.417,-14.212,0.473,2.9246,False
600,0.15,0.7446,34.82,-55.417,-14.212,0.628,2.9625,False
600,0.175,0.8874,54.92,-55.417,-14.212,0.991,2.8698,False
600,0.2,0.9327,62.73,-55.417,-14.212,1.132,2.8359,False
600,0.225,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
600,0.25,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
600,0.3,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
660,0.07,0.472,10.42,-56.969,-14.212,0.183,3.1428,False
660,0.08,0.5593,16.93,-55.512,-14.212,0.305,2.9759,False
660,0.09,0.7763,36.62,-55.417,-14.212,0.661,2.7048,False
660,0.1,0.693,28.71,-55.417,-14.212,0.518,2.8869,False
660,0.15,0.7446,34.82,-55.417,-14.212,0.628,2.9625,False
660,0.175,0.8185,44.06,-55.417,-14.212,0.795,2.9064,False
660,0.2,0.9327,62.73,-55.417,-14.212,1.132,2.8359,False
660,0.225,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
660,0.25,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
660,0.3,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
720,0.07,0.472,10.42,-56.969,-14.212,0.183,3.1428,False
720,0.08,0.5728,18.01,-55.512,-14.212,0.324,2.9789,False
720,0.09,0.8084,40.01,-55.417,-14.212,0.722,2.7098,True
720,0.1,0.693,28.71,-55.417,-14.212,0.518,2.8869,False
720,0.15,0.7446,34.82,-55.417,-14.212,0.628,2.9625,False
720,0.175,0.8185,44.06,-55.417,-14.212,0.795,2.9064,False
720,0.2,0.9327,62.73,-55.417,-14.212,1.132,2.8359,False
720,0.225,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
720,0.25,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
720,0.3,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
900,0.07,0.486,11.42,-56.545,-14.212,0.202,3.1428,False
900,0.08,0.5728,18.01,-55.512,-14.212,0.324,2.9789,False
900,0.09,0.8084,40.01,-55.417,-14.212,0.722,2.7098,False
900,0.1,0.8665,46.61,-55.417,-14.212,0.841,2.6301,False
900,0.15,1.0209,70.22,-55.417,-14.212,1.267,2.6661,False
900,0.175,1.0806,81.89,-55.417,-14.212,1.478,2.6329,False
900,0.2,0.9134,59.01,-55.417,-14.212,1.065,2.8454,False
900,0.225,0.8909,55.44,-55.417,-14.212,1.0,2.8662,False
900,0.25,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
900,0.3,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
1080,0.07,0.4935,11.96,-56.545,-14.212,0.212,3.1228,False
1080,0.08,0.5728,18.01,-55.512,-14.212,0.324,2.9789,False
1080,0.09,0.8382,43.29,-54.276,-14.212,0.798,2.7098,False
1080,0.1,0.8665,46.61,-55.417,-14.212,0.841,2.6301,False
1080,0.15,1.0209,70.22,-55.417,-14.212,1.267,2.6661,False
1080,0.175,1.0806,81.89,-55.417,-14.212,1.478,2.6329,False
1080,0.2,0.9134,59.01,-55.417,-14.212,1.065,2.8454,False
1080,0.225,0.8909,55.44,-55.417,-14.212,1.0,2.8662,False
1080,0.25,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
1080,0.3,0.8927,55.77,-55.417,-14.212,1.006,2.8654,False
