period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.092965,0.001622,0.080301,-0.050561,0.235125,-0.14212,37,46
weekly,56,0.339286,0.012213,0.126032,-0.065795,0.413993,-0.223747,19,26
monthly,13,0.538462,0.063259,0.259224,-0.165366,0.885367,-0.324778,7,6
