mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,3.1725,0.0766,3.0833,482.32,-18.14,3.9295,3.819,100
return_noise,0.003,3.1714,0.075,3.0831,481.45,-18.13,3.9282,3.8188,100
return_noise,0.005,3.164,0.0772,3.083,477.32,-18.14,3.919,3.8187,100
return_noise,0.01,3.1661,0.0771,3.0824,478.42,-18.14,3.9216,3.818,100
signal_shuffle,0.02,0.7906,0.0776,0.5918,38.53,-55.51,0.9792,0.733,100
signal_shuffle,0.05,0.777,0.1662,0.1713,38.02,-55.11,0.9624,0.2122,100
signal_shuffle,0.1,0.7751,0.2211,0.1263,38.83,-55.64,0.9601,0.1565,100
signal_shuffle,0.2,0.7594,0.2724,0.0773,38.21,-54.94,0.9406,0.0957,100
ranking_noise,0.02,0.8048,0.11,0.4788,40.2,-54.39,0.9969,0.5931,100
ranking_noise,0.05,0.8204,0.2086,0.2432,43.34,-52.7,1.0162,0.3012,100
ranking_noise,0.1,0.7116,0.2941,-0.0961,33.97,-52.83,0.8814,-0.119,100
