threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,0.8861,48,50.0,48,False,Robust plateau | baseline outside
0.975,0.9094,8,8.33,8,False,Robust plateau | baseline outside
0.99,0.9234,8,8.33,8,False,Robust plateau | baseline outside
