blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,0.8073,40.01,-55.417,0.0,0.0
1,+87.5%,-0.0496,-21.73,-58.349,-0.8569,-61.74
2,"+87.5%, +21.6%",-0.403,-34.56,-65.737,-1.2104,-74.57
3,"+87.5%, +21.6%, +20.8%",-0.855,-45.8,-65.737,-1.6623,-85.81
