L_BASE,L_HIGH,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.0,0.6,1.5562,133.34,-45.074,-8.937,2.958,2.0885,False
0.0,0.8,1.5562,178.97,-55.788,-11.916,3.208,2.0885,False
0.0,1.0,1.5562,217.09,-64.73,-14.895,3.354,2.0885,False
0.0,1.2,1.5562,242.87,-72.12,-17.874,3.368,2.0885,False
0.0,1.4,1.5562,252.87,-78.17,-20.853,3.235,2.0885,False
0.0,1.5,1.5562,251.43,-80.753,-22.342,3.114,2.0885,False
0.0,1.6,1.5562,245.74,-83.073,-23.832,2.958,2.0885,False
0.0,1.8,1.5562,222.57,-87.007,-26.811,2.558,2.0885,False
0.0,2.0,1.5562,186.57,-90.131,-29.79,2.07,2.0885,False
0.1,0.6,1.5562,133.34,-45.074,-8.937,2.958,2.0885,False
0.1,0.8,1.5562,178.97,-55.788,-11.916,3.208,2.0885,False
0.1,1.0,1.5562,217.09,-64.73,-14.895,3.354,2.0885,False
0.1,1.2,1.5562,242.87,-72.12,-17.874,3.368,2.0885,False
0.1,1.4,1.5562,252.87,-78.17,-20.853,3.235,2.0885,False
0.1,1.5,1.5562,251.43,-80.753,-22.342,3.114,2.0885,False
0.1,1.6,1.5562,245.74,-83.073,-23.832,2.958,2.0885,False
0.1,1.8,1.5562,222.57,-87.007,-26.811,2.558,2.0885,False
0.1,2.0,1.5562,186.57,-90.131,-29.79,2.07,2.0885,False
0.2,0.6,1.5562,133.34,-45.074,-8.937,2.958,2.0885,False
0.2,0.8,1.5562,178.97,-55.788,-11.916,3.208,2.0885,False
0.2,1.0,1.5562,217.09,-64.73,-14.895,3.354,2.0885,False
0.2,1.2,1.5562,242.87,-72.12,-17.874,3.368,2.0885,False
0.2,1.4,1.5562,252.87,-78.17,-20.853,3.235,2.0885,False
0.2,1.5,1.5562,251.43,-80.753,-22.342,3.114,2.0885,False
0.2,1.6,1.5562,245.74,-83.073,-23.832,2.958,2.0885,False
0.2,1.8,1.5562,222.57,-87.007,-26.811,2.558,2.0885,False
0.2,2.0,1.5562,186.57,-90.131,-29.79,2.07,2.0885,False
0.3,0.6,1.5562,133.34,-45.074,-8.937,2.958,2.0885,False
0.3,0.8,1.5562,178.97,-55.788,-11.916,3.208,2.0885,False
0.3,1.0,1.5562,217.09,-64.73,-14.895,3.354,2.0885,False
0.3,1.2,1.5562,242.87,-72.12,-17.874,3.368,2.0885,False
0.3,1.4,1.5562,252.87,-78.17,-20.853,3.235,2.0885,False
0.3,1.5,1.5562,251.43,-80.753,-22.342,3.114,2.0885,False
0.3,1.6,1.5562,245.74,-83.073,-23.832,2.958,2.0885,False
0.3,1.8,1.5562,222.57,-87.007,-26.811,2.558,2.0885,False
0.3,2.0,1.5562,186.57,-90.131,-29.79,2.07,2.0885,False
0.4,0.6,1.5562,133.34,-45.074,-8.937,2.958,2.0885,False
0.4,0.8,1.5562,178.97,-55.788,-11.916,3.208,2.0885,False
0.4,1.0,1.5562,217.09,-64.73,-14.895,3.354,2.0885,False
0.4,1.2,1.5562,242.87,-72.12,-17.874,3.368,2.0885,False
0.4,1.4,1.5562,252.87,-78.17,-20.853,3.235,2.0885,False
0.4,1.5,1.5562,251.43,-80.753,-22.342,3.114,2.0885,False
0.4,1.6,1.5562,245.74,-83.073,-23.832,2.958,2.0885,False
0.4,1.8,1.5562,222.57,-87.007,-26.811,2.558,2.0885,False
0.4,2.0,1.5562,186.57,-90.131,-29.79,2.07,2.0885,False
0.5,0.6,1.5562,133.34,-45.074,-8.937,2.958,2.0885,False
0.5,0.8,1.5562,178.97,-55.788,-11.916,3.208,2.0885,False
0.5,1.0,1.5562,217.09,-64.73,-14.895,3.354,2.0885,False
0.5,1.2,1.5562,242.87,-72.12,-17.874,3.368,2.0885,False
0.5,1.4,1.5562,252.87,-78.17,-20.853,3.235,2.0885,False
0.5,1.5,1.5562,251.43,-80.753,-22.342,3.114,2.0885,False
0.5,1.6,1.5562,245.74,-83.073,-23.832,2.958,2.0885,False
0.5,1.8,1.5562,222.57,-87.007,-26.811,2.558,2.0885,False
0.5,2.0,1.5562,186.57,-90.131,-29.79,2.07,2.0885,False
0.6,0.6,1.5562,133.34,-45.074,-8.937,2.958,2.0885,False
0.6,0.8,1.5562,178.97,-55.788,-11.916,3.208,2.0885,False
0.6,1.0,1.5562,217.09,-64.73,-14.895,3.354,2.0885,False
0.6,1.2,1.5562,242.87,-72.12,-17.874,3.368,2.0885,False
0.6,1.4,1.5562,252.87,-78.17,-20.853,3.235,2.0885,False
0.6,1.5,1.5562,251.43,-80.753,-22.342,3.114,2.0885,False
0.6,1.6,1.5562,245.74,-83.073,-23.832,2.958,2.0885,False
0.6,1.8,1.5562,222.57,-87.007,-26.811,2.558,2.0885,False
0.6,2.0,1.5562,186.57,-90.131,-29.79,2.07,2.0885,False
0.7,0.6,1.5562,133.34,-45.074,-8.937,2.958,2.0885,False
0.7,0.8,1.5562,178.97,-55.788,-11.916,3.208,2.0885,False
0.7,1.0,1.5562,217.09,-64.73,-14.895,3.354,2.0885,False
0.7,1.2,1.5562,242.87,-72.12,-17.874,3.368,2.0885,False
0.7,1.4,1.5562,252.87,-78.17,-20.853,3.235,2.0885,False
0.7,1.5,1.5562,251.43,-80.753,-22.342,3.114,2.0885,False
0.7,1.6,1.5562,245.74,-83.073,-23.832,2.958,2.0885,False
0.7,1.8,1.5562,222.57,-87.007,-26.811,2.558,2.0885,False
0.7,2.0,1.5562,186.57,-90.131,-29.79,2.07,2.0885,False
0.75,0.6,1.5562,133.34,-45.074,-8.937,2.958,2.0885,False
0.75,0.8,1.5562,178.97,-55.788,-11.916,3.208,2.0885,False
0.75,1.0,1.5562,217.09,-64.73,-14.895,3.354,2.0885,False
0.75,1.2,1.5562,242.87,-72.12,-17.874,3.368,2.0885,False
0.75,1.4,1.5562,252.87,-78.17,-20.853,3.235,2.0885,False
0.75,1.5,1.5562,251.43,-80.753,-22.342,3.114,2.0885,False
0.75,1.6,1.5562,245.74,-83.073,-23.832,2.958,2.0885,False
0.75,1.8,1.5562,222.57,-87.007,-26.811,2.558,2.0885,False
0.75,2.0,1.5562,186.57,-90.131,-29.79,2.07,2.0885,False
0.8,0.6,1.5562,133.34,-45.074,-8.937,2.958,2.0885,False
0.8,0.8,1.5562,178.97,-55.788,-11.916,3.208,2.0885,False
0.8,1.0,1.5562,217.09,-64.73,-14.895,3.354,2.0885,False
0.8,1.2,1.5562,242.87,-72.12,-17.874,3.368,2.0885,False
0.8,1.4,1.5562,252.87,-78.17,-20.853,3.235,2.0885,False
0.8,1.5,1.5562,251.43,-80.753,-22.342,3.114,2.0885,False
0.8,1.6,1.5562,245.74,-83.073,-23.832,2.958,2.0885,False
0.8,1.8,1.5562,222.57,-87.007,-26.811,2.558,2.0885,False
0.8,2.0,1.5562,186.57,-90.131,-29.79,2.07,2.0885,False
0.9,0.6,1.5562,133.34,-45.074,-8.937,2.958,2.0885,False
0.9,0.8,1.5562,178.97,-55.788,-11.916,3.208,2.0885,False
0.9,1.0,1.5562,217.09,-64.73,-14.895,3.354,2.0885,False
0.9,1.2,1.5562,242.87,-72.12,-17.874,3.368,2.0885,False
0.9,1.4,1.5562,252.87,-78.17,-20.853,3.235,2.0885,False
0.9,1.5,1.5562,251.43,-80.753,-22.342,3.114,2.0885,False
0.9,1.6,1.5562,245.74,-83.073,-23.832,2.958,2.0885,False
0.9,1.8,1.5562,222.57,-87.007,-26.811,2.558,2.0885,False
0.9,2.0,1.5562,186.57,-90.131,-29.79,2.07,2.0885,False
1.0,0.6,1.5562,133.34,-45.074,-8.937,2.958,2.0885,False
1.0,0.8,1.5562,178.97,-55.788,-11.916,3.208,2.0885,False
1.0,1.0,1.5562,217.09,-64.73,-14.895,3.354,2.0885,False
1.0,1.2,1.5562,242.87,-72.12,-17.874,3.368,2.0885,False
1.0,1.4,1.5562,252.87,-78.17,-20.853,3.235,2.0885,False
1.0,1.5,1.5562,251.43,-80.753,-22.342,3.114,2.0885,False
1.0,1.6,1.5562,245.74,-83.073,-23.832,2.958,2.0885,False
1.0,1.8,1.5562,222.57,-87.007,-26.811,2.558,2.0885,False
1.0,2.0,1.5562,186.57,-90.131,-29.79,2.07,2.0885,False
