mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,8.8871,0.0,8.887,80130.86,-10.84,5.718,5.7179,100
return_noise,0.003,8.8871,0.0001,8.8869,80129.48,-10.84,5.718,5.7178,100
return_noise,0.005,8.8871,0.0002,8.8865,80131.26,-10.84,5.718,5.7176,100
return_noise,0.01,8.8884,0.0097,8.8862,80273.88,-10.84,5.7189,5.7174,100
signal_shuffle,0.02,1.534,0.0895,1.3054,243.13,-75.61,0.987,0.8399,100
signal_shuffle,0.05,1.5231,0.19,0.9291,248.93,-75.2,0.98,0.5978,100
signal_shuffle,0.1,1.5293,0.2218,0.9299,258.42,-74.37,0.984,0.5983,100
signal_shuffle,0.2,1.5779,0.3391,0.4962,316.57,-73.56,1.0152,0.3192,100
ranking_noise,0.02,1.5115,0.1507,1.0774,237.54,-75.44,0.9725,0.6932,100
ranking_noise,0.05,1.477,0.2621,0.7577,238.0,-75.92,0.9503,0.4875,100
ranking_noise,0.1,1.3534,0.3367,0.508,194.56,-77.27,0.8708,0.3268,100
