L_HIGH,Sharpe,CAGR%,MaxDD%,Flat_days,IS_Sharpe,OOS_Sharpe,Decay%,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable,Fold5_Sharpe,Fold8_Sharpe
0.8,1.461,126.5,-45.0,90,2.359,0.171,92.8,2.648,1.759,77.8,2,6.074,2.527
0.9,1.547,169.9,-51.92,90,2.438,0.287,88.2,2.475,1.875,77.8,2,6.27,2.835
1.0,1.587,207.2,-57.83,90,2.451,0.382,84.4,2.304,1.978,77.8,2,6.344,3.091
1.1,1.571,225.8,-64.04,90,2.449,0.358,85.4,2.237,2.005,77.8,2,6.283,2.981
1.2,1.557,239.4,-69.89,90,2.451,0.341,86.1,2.179,2.028,77.8,2,6.191,2.826
1.3,1.556,250.0,-75.3,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
1.4,1.556,252.9,-78.17,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
1.5,1.556,251.4,-80.75,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
1.6,1.556,245.7,-83.07,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
1.7,1.556,236.0,-85.15,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
1.8,1.556,222.6,-87.01,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
1.9,1.556,205.9,-88.66,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
2.0,1.556,186.6,-90.13,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
2.1,1.556,165.2,-91.43,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
2.2,1.556,142.4,-92.59,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
2.3,1.556,118.8,-93.6,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
2.4,1.556,95.1,-94.49,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
2.5,1.556,71.9,-95.28,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
2.6,1.556,49.5,-95.96,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
2.7,1.556,28.4,-96.56,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
2.8,1.556,8.9,-97.07,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
2.9,1.556,-8.9,-97.52,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
3.0,1.556,-24.7,-97.91,90,2.48,0.336,86.4,2.088,2.1,77.8,2,6.073,2.81
