surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,3.0226,5,7.81,5,False,Robust plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,3.1022,2,3.12,1,False,Thin plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,3.1499,1,1.56,1,False,Single-cell peak | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.95,1.764,36,20.0,18,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.975,1.8104,22,12.22,10,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.99,1.8382,8,4.44,4,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,1.4784,108,100.0,108,True,Robust plateau | baseline inside
lbase_lhigh,L_BASE,L_HIGH,0.975,1.5173,108,100.0,108,True,Robust plateau | baseline inside
lbase_lhigh,L_BASE,L_HIGH,0.99,1.5406,108,100.0,108,True,Robust plateau | baseline inside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,1.7204,22,11.11,22,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,1.7657,11,5.56,11,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,1.7929,11,5.56,11,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.95,1.6323,24,30.0,16,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.975,1.6752,8,10.0,8,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.99,1.701,8,10.0,8,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,3.3282,27,33.75,27,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,3.4158,10,12.5,5,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,3.4684,10,12.5,5,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,3.0226,5,6.25,5,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,3.1022,2,2.5,1,False,Thin plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,3.1499,1,1.25,1,False,Single-cell peak | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,3.0226,5,5.21,5,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,3.1022,2,2.08,1,False,Thin plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,3.1499,1,1.04,1,False,Single-cell peak | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,1.7421,7,10.0,7,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,1.788,2,2.86,2,False,Thin plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,1.8155,1,1.43,1,False,Single-cell peak | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,3.0226,25,100.0,25,False,Robust plateau | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,3.1022,10,40.0,9,False,Robust plateau | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,3.1499,9,36.0,9,False,Robust plateau | baseline outside
