TRAIL_DD,EARLY_X,Sharpe,MaxDD%,WF_CV,Fold5_Sharpe,Fold8_Sharpe,Flat_days
0.04,35,-0.541,-75.01,3.621,0.905,-4.573,90
0.05,35,0.947,-65.45,28.792,3.202,-3.973,90
0.06,35,1.293,-58.95,3.884,4.276,-1.974,90
0.07,35,1.383,-55.95,2.837,5.391,1.56,90
0.08,35,1.439,-57.9,2.604,5.605,2.449,90
0.09,35,1.501,-57.41,2.623,5.605,2.449,90
0.1,35,1.557,-58.46,2.523,5.605,2.712,90
0.11,35,1.582,-58.36,2.484,5.605,2.712,90
0.12,35,1.708,-55.65,2.417,5.605,2.712,90
0.13,35,1.708,-55.65,2.417,5.605,2.712,90
0.14,35,1.708,-55.65,2.417,5.605,2.712,90
0.15,35,1.708,-55.65,2.417,5.605,2.712,90
0.16,35,1.708,-55.65,2.417,5.605,2.712,90
