aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.44758,0.89516,-0.6855,-1.5587,-93.29,-96.81,-0.96,Unusable
143844,0.5368,1.07361,-0.9961,-1.8693,-96.15,-97.88,-0.98,Unusable
206913,0.64382,1.28764,-1.3684,-2.2416,-98.02,-98.77,-0.99,Unusable
297635,0.77217,1.54433,-1.8146,-2.6878,-99.11,-99.39,-1.0,Unusable
428133,0.9261,1.8522,-2.3489,-3.2221,-99.66,-99.78,-1.0,Unusable
615848,1.11072,2.22145,-2.9883,-3.8615,-99.89,-99.94,-1.0,Unusable
885866,1.33215,2.6643,-3.7526,-4.6258,-99.97,-99.99,-1.0,Unusable
1274274,1.59772,3.19544,-4.6647,-5.5379,-100.0,-100.0,-1.0,Unusable
1832980,1.91623,3.83246,-5.7503,-6.6235,-100.0,-100.0,-1.0,Unusable
2636650,2.29824,4.59648,-7.038,-7.9112,-100.0,-100.0,-1.0,Unusable
3792690,2.7564,5.51281,-8.5575,-9.4307,-100.0,-100.0,-1.0,Unusable
5455594,3.3059,6.61181,-10.3377,-11.2109,-100.0,-100.0,-1.0,Unusable
7847599,3.96495,7.9299,-12.4021,-13.2754,-100.0,-100.0,-1.0,Unusable
11288378,4.75538,9.51076,-14.7627,-15.6359,-100.0,-100.0,-1.0,Unusable
16237767,5.70338,11.40676,-17.4111,-18.2843,-100.0,-100.0,-1.0,Unusable
23357214,6.84037,13.68075,-20.3088,-21.182,-100.0,-100.0,-1.0,Unusable
33598182,8.20403,16.40806,-23.38,-24.2532,-100.0,-100.0,-1.0,Unusable
48329302,9.83953,19.67907,-26.5112,-27.3844,-100.0,-100.0,-1.0,Unusable
69519279,11.80108,23.60217,-29.5636,-30.4368,-100.0,-100.0,-1.0,Unusable
100000000,14.15368,28.30735,-32.3975,-33.2707,-100.0,-100.0,-1.0,Unusable
