aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.39114,0.78228,2.3854,-0.9787,391.67,-27.53,14.23,Institutional
143844,0.46912,0.93823,2.1837,-1.1804,317.3,-28.36,11.19,Institutional
206913,0.56264,1.12527,1.9395,-1.4246,242.67,-29.34,8.27,Survival
297635,0.6748,1.3496,1.6433,-1.7208,170.42,-30.49,5.59,Survival
428133,0.80933,1.61865,1.2843,-2.0798,103.42,-31.86,3.25,Marginal
615848,0.97067,1.94134,0.8493,-2.5148,44.43,-34.7,1.28,Unusable
885866,1.16418,2.32835,0.3234,-3.0406,-4.36,-47.15,-0.09,Unusable
1274274,1.39626,2.79252,-0.3094,-3.6734,-41.79,-65.24,-0.64,Unusable
1832980,1.67461,3.34922,-1.0646,-4.4287,-68.01,-79.81,-0.85,Unusable
2636650,2.00845,4.0169,-1.9538,-5.3179,-84.47,-89.75,-0.94,Unusable
3792690,2.40884,4.81768,-2.9789,-6.343,-93.51,-95.51,-0.98,Unusable
5455594,2.88905,5.77811,-4.1247,-7.4888,-97.74,-98.53,-0.99,Unusable
7847599,3.465,6.92999,-5.3525,-8.7166,-99.37,-99.63,-1.0,Unusable
11288378,4.15576,8.31152,-6.5992,-9.9633,-99.87,-99.93,-1.0,Unusable
16237767,4.98422,9.96845,-7.7877,-11.1518,-99.98,-99.99,-1.0,Unusable
23357214,5.97785,11.9557,-8.8475,-12.2116,-100.0,-100.0,-1.0,Unusable
33598182,7.16956,14.33911,-9.7331,-13.0972,-100.0,-100.0,-1.0,Unusable
48329302,8.59884,17.19767,-10.4322,-13.7963,-100.0,-100.0,-1.0,Unusable
69519279,10.31305,20.6261,-10.9596,-14.3237,-100.0,-100.0,-1.0,Unusable
100000000,12.369,24.73799,-11.344,-14.7081,-100.0,-100.0,-1.0,Unusable
