shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,3.3641,1015.05,-23.909,0.0,0.0,True
-10.0,1,3.2908,962.63,-27.801,-0.0733,-3.892,True
-10.0,3,3.0187,775.9,-41.519,-0.3454,-17.61,True
-10.0,5,2.7559,621.98,-52.631,-0.6082,-28.721,False
-20.0,1,3.1115,853.83,-35.823,-0.2526,-11.914,True
-20.0,3,2.5322,533.46,-58.927,-0.8319,-35.018,False
-20.0,5,2.0161,320.7,-73.713,-1.348,-49.804,False
-30.0,1,2.9043,743.89,-43.846,-0.4598,-19.936,True
-30.0,3,2.0409,338.7,-72.484,-1.3232,-48.575,False
-30.0,5,1.3452,128.06,-86.517,-2.0189,-62.608,False
-40.0,1,2.6818,632.64,-51.868,-0.6823,-27.959,False
-40.0,3,1.5909,187.07,-82.672,-1.7732,-58.763,False
-40.0,5,0.7938,12.48,-93.762,-2.5703,-69.853,False
