blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.3641,1015.05,-23.909,0.0,0.0
1,+100.2%,2.7391,490.06,-26.79,-0.625,-524.98
2,"+100.2%, +52.0%",2.3258,301.86,-26.79,-1.0383,-713.19
3,"+100.2%, +52.0%, +29.5%",2.0154,217.04,-26.79,-1.3487,-798.0
