period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.153266,0.007478,0.083874,-0.038913,0.21408,-0.12822,61,55
weekly,56,0.571429,0.053091,0.117931,-0.057195,0.454164,-0.173099,32,14
monthly,13,0.692308,0.247191,0.367705,-0.023966,1.001626,-0.060322,9,4
