window_days,min_cum_ret,start_idx,end_idx
1,-0.128220,200,200
3,-0.179700,198,200
7,-0.183056,38,44
14,-0.257381,34,47
21,-0.216600,180,200
30,-0.261150,173,202
40,-0.146820,161,200
50,-0.164850,158,207
60,-0.044340,145,204
70,0.145080,136,205
80,0.263948,121,200
90,0.263948,117,206
100,0.343958,104,203
