Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.2141,4.2,20.0,✓
5,5,0.9456,18.5,45.0,✓
10,11,1.8571,36.3,65.0,✓
20,23,3.227,63.1,,
25,29,3.809,74.4,,
