n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.3641,1015.05,-23.909,0.0,0.0
1,21.4%,3.2239,838.59,-23.909,-0.1402,-176.46
3,"21.4%, 19.8%, 19.5%",2.9339,581.37,-23.909,-0.4302,-433.68
5,"21.4%, 19.8%, 19.5%, 16.9%, 16.9%",2.6416,414.63,-23.909,-0.7225,-600.42
10,"21.4%, 19.8%, 19.5%, 16.9%, 16.9% … +5 more",1.8532,168.45,-23.909,-1.5109,-846.6
