Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,delta,1,-0.0178,0.734,0.0617,0.2383,367,
CAGR%,delta,1,-0.0178,0.7338,0.059,0.2599,367,
Sortino,delta,1,0.0537,0.3052,0.0326,0.5341,367,
Sharpe,delta,1,0.0285,0.5868,0.0286,0.5847,367,
AvgDailyRet%,delta,1,0.022,0.6739,0.0278,0.596,367,
AvgDailyRet%,level,1,-0.0403,0.4403,0.0239,0.6477,368,
Sharpe,level,1,-0.0531,0.3097,0.0156,0.7661,368,
Sortino,level,1,-0.042,0.4214,0.0152,0.7715,368,
CAGR%,level,1,-0.0342,0.5132,0.0124,0.8127,368,
Calmar,level,1,-0.0338,0.5184,-0.0087,0.8677,368,
Calmar,level,3,-0.0515,0.326,-0.1056,0.0435,366,yes
CAGR%,level,3,-0.0518,0.3226,-0.0795,0.129,366,
Sortino,level,3,-0.0876,0.0941,-0.0752,0.1508,366,
Sharpe,level,3,-0.0904,0.0842,-0.0746,0.1545,366,
AvgDailyRet%,level,3,-0.0722,0.1681,-0.0609,0.2452,366,
Calmar,delta,3,0.0259,0.6225,0.0513,0.3283,365,
CAGR%,delta,3,0.0255,0.6267,0.0427,0.4164,365,
Sortino,delta,3,0.0542,0.302,0.0099,0.8511,365,
Sharpe,delta,3,-0.02,0.7031,-0.0094,0.8573,365,
AvgDailyRet%,delta,3,0.0156,0.7662,0.0052,0.9216,365,
Calmar,level,5,-0.1115,0.0335,-0.1415,0.0069,364,yes
CAGR%,level,5,-0.1116,0.0332,-0.1163,0.0265,364,yes
Sortino,level,5,-0.1284,0.0142,-0.1085,0.0386,364,yes
Sharpe,level,5,-0.113,0.0312,-0.1066,0.0421,364,yes
AvgDailyRet%,level,5,-0.103,0.0495,-0.0939,0.0735,364,
CAGR%,delta,5,0.0125,0.8125,0.0101,0.8476,363,
AvgDailyRet%,delta,5,0.0334,0.5259,0.0072,0.8914,363,
Calmar,delta,5,0.0127,0.8098,0.0025,0.9627,363,
Sortino,delta,5,0.0356,0.4984,-0.0021,0.9685,363,
Sharpe,delta,5,0.0038,0.9422,-0.002,0.9695,363,
