EARLY_FILL_Y,EARLY_KILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.175,0.0008,2.789,2489.18,-49.618,-15.944,50.167,0.9192,False
0.175,0.001,2.789,2489.18,-49.618,-15.944,50.167,0.9192,False
0.175,0.0015,2.789,2489.18,-49.618,-15.944,50.167,0.9192,False
0.175,0.002,2.789,2489.18,-49.618,-15.944,50.167,0.9192,False
0.175,0.0025,2.789,2489.18,-49.618,-15.944,50.167,0.9192,False
0.175,0.003,2.789,2489.18,-49.618,-15.944,50.167,0.9192,False
0.2,0.0,2.772,2583.57,-49.618,-15.944,52.07,0.9065,False
0.2,0.0005,2.772,2583.57,-49.618,-15.944,52.07,0.9065,False
0.2,0.0008,2.772,2583.57,-49.618,-15.944,52.07,0.9065,False
0.2,0.001,2.772,2583.57,-49.618,-15.944,52.07,0.9065,False
0.2,0.0015,2.772,2583.57,-49.618,-15.944,52.07,0.9065,False
0.2,0.002,2.772,2583.57,-49.618,-15.944,52.07,0.9065,False
0.2,0.0025,2.772,2583.57,-49.618,-15.944,52.07,0.9065,False
0.2,0.003,2.772,2583.57,-49.618,-15.944,52.07,0.9065,False
0.225,0.0,2.8153,3351.18,-49.618,-15.944,67.54,0.8114,False
0.225,0.0005,2.8153,3351.18,-49.618,-15.944,67.54,0.8114,False
0.225,0.0008,2.8153,3351.18,-49.618,-15.944,67.54,0.8114,False
0.225,0.001,2.8153,3351.18,-49.618,-15.944,67.54,0.8114,False
0.225,0.0015,2.8153,3351.18,-49.618,-15.944,67.54,0.8114,False
0.225,0.002,2.8153,3351.18,-49.618,-15.944,67.54,0.8114,False
0.225,0.0025,2.8153,3351.18,-49.618,-15.944,67.54,0.8114,False
0.225,0.003,2.8153,3351.18,-49.618,-15.944,67.54,0.8114,False
0.25,0.0,2.7258,2576.21,-49.618,-15.944,51.921,0.9225,False
0.25,0.0005,2.7258,2576.21,-49.618,-15.944,51.921,0.9225,False
0.25,0.0008,2.7258,2576.21,-49.618,-15.944,51.921,0.9225,False
0.25,0.001,2.7258,2576.21,-49.618,-15.944,51.921,0.9225,False
0.25,0.0015,2.7258,2576.21,-49.618,-15.944,51.921,0.9225,False
0.25,0.002,2.7258,2576.21,-49.618,-15.944,51.921,0.9225,False
0.25,0.0025,2.7258,2576.21,-49.618,-15.944,51.921,0.9225,False
0.25,0.003,2.7258,2576.21,-49.618,-15.944,51.921,0.9225,False
0.275,0.0,2.73,3248.31,-49.618,-15.944,65.467,0.917,False
0.275,0.0005,2.73,3248.31,-49.618,-15.944,65.467,0.917,False
0.275,0.0008,2.73,3248.31,-49.618,-15.944,65.467,0.917,False
0.275,0.001,2.73,3248.31,-49.618,-15.944,65.467,0.917,False
0.275,0.0015,2.73,3248.31,-49.618,-15.944,65.467,0.917,False
0.275,0.002,2.73,3248.31,-49.618,-15.944,65.467,0.917,False
0.275,0.0025,2.73,3248.31,-49.618,-15.944,65.467,0.917,False
0.275,0.003,2.73,3248.31,-49.618,-15.944,65.467,0.917,False
0.3,0.0,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
0.3,0.0005,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
0.3,0.0008,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
0.3,0.001,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
0.3,0.0015,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
0.3,0.002,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
0.3,0.0025,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
0.3,0.003,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
0.325,0.0,2.6945,2772.14,-49.618,-15.944,55.87,0.8765,False
0.325,0.0005,2.6945,2772.14,-49.618,-15.944,55.87,0.8765,False
0.325,0.0008,2.6945,2772.14,-49.618,-15.944,55.87,0.8765,False
0.325,0.001,2.6945,2772.14,-49.618,-15.944,55.87,0.8765,False
0.325,0.0015,2.6945,2772.14,-49.618,-15.944,55.87,0.8765,False
0.325,0.002,2.6945,2772.14,-49.618,-15.944,55.87,0.8765,False
0.325,0.0025,2.6945,2772.14,-49.618,-15.944,55.87,0.8765,False
0.325,0.003,2.6945,2772.14,-49.618,-15.944,55.87,0.8765,False
