Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.2902,4.0,20.0,✓
5,5,1.1747,16.1,45.0,✓
10,10,2.1794,29.8,65.0,✓
20,21,4.1693,57.0,,
25,27,5.1202,70.0,,
