threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,2.7417,27,38.57,22,False,Robust plateau | baseline outside
0.975,2.8138,10,14.29,9,False,Robust plateau | baseline outside
0.99,2.8571,1,1.43,1,False,Single-cell peak | baseline outside
