L_HIGH,Sharpe,CAGR%,MaxDD%,Flat_days,IS_Sharpe,OOS_Sharpe,Decay%,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable,Fold5_Sharpe,Fold8_Sharpe
0.8,2.793,206.3,-16.19,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
0.9,2.793,247.7,-18.07,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
1.0,2.793,293.8,-19.92,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
1.1,2.793,344.6,-21.73,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
1.2,2.793,400.7,-23.52,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
1.3,2.793,462.3,-25.27,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
1.4,2.793,529.8,-27.0,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
1.5,2.793,603.5,-28.69,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
1.6,2.793,683.7,-30.36,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
1.7,2.793,770.7,-32.0,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
1.8,2.793,864.9,-33.61,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
1.9,2.793,966.4,-35.19,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
2.0,2.793,1075.5,-36.74,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
2.1,2.793,1192.5,-38.26,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
2.2,2.793,1317.4,-39.76,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
2.3,2.793,1450.3,-41.23,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
2.4,2.793,1591.4,-42.68,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
2.5,2.793,1740.6,-44.09,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
2.6,2.793,1897.9,-45.49,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
2.7,2.793,2063.1,-46.85,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
2.8,2.793,2236.1,-48.19,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
2.9,2.793,2416.5,-49.51,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
3.0,2.793,2604.0,-50.82,290,2.793,,,0.915,2.665,88.9,1,3.912,3.617
