period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.153266,0.009141,0.119959,-0.078288,0.290235,-0.159445,61,47
weekly,56,0.517857,0.062334,0.167802,-0.091704,0.536109,-0.185081,29,15
monthly,13,0.846154,0.309143,0.403577,-0.210243,1.520743,-0.275682,11,2
