TRAIL_DD,EARLY_X,Sharpe,MaxDD%,WF_CV,Fold5_Sharpe,Fold8_Sharpe,Flat_days
0.11,31,2.051,-44.16,1.06,-0.078,3.909,291
0.11,32,2.051,-44.16,1.06,-0.078,3.909,291
0.11,33,2.051,-44.16,1.06,-0.078,3.909,291
0.11,34,2.051,-44.16,1.06,-0.078,3.909,291
0.11,35,2.915,-39.34,0.77,3.912,3.837,290
0.11,36,2.915,-39.34,0.77,3.912,3.837,290
0.11,37,2.915,-39.34,0.77,3.912,3.837,290
0.11,38,2.915,-39.34,0.77,3.912,3.837,290
0.11,39,2.915,-39.34,0.77,3.912,3.837,290
0.11,40,2.526,-43.43,1.117,1.758,3.46,289
0.11,41,2.526,-43.43,1.117,1.758,3.46,289
0.11,42,2.526,-43.43,1.117,1.758,3.46,289
0.11,43,2.526,-43.43,1.117,1.758,3.46,289
0.11,44,2.526,-43.43,1.117,1.758,3.46,289
0.12,30,2.108,-44.16,1.077,-0.078,3.909,291
0.12,31,2.108,-44.16,1.077,-0.078,3.909,291
0.12,32,2.108,-44.16,1.077,-0.078,3.909,291
0.12,33,2.108,-44.16,1.077,-0.078,3.909,291
0.12,34,2.108,-44.16,1.077,-0.078,3.909,291
0.12,35,2.974,-39.34,0.776,3.912,3.837,290
0.12,36,2.974,-39.34,0.776,3.912,3.837,290
0.12,37,2.974,-39.34,0.776,3.912,3.837,290
0.12,38,2.974,-39.34,0.776,3.912,3.837,290
0.12,39,2.974,-39.34,0.776,3.912,3.837,290
0.12,40,2.526,-43.43,1.117,1.758,3.46,289
0.12,41,2.526,-43.43,1.117,1.758,3.46,289
0.12,42,2.526,-43.43,1.117,1.758,3.46,289
0.12,43,2.526,-43.43,1.117,1.758,3.46,289
0.12,44,2.526,-43.43,1.117,1.758,3.46,289
0.13,30,2.108,-44.16,1.077,-0.078,3.909,291
0.13,31,2.108,-44.16,1.077,-0.078,3.909,291
0.13,32,2.108,-44.16,1.077,-0.078,3.909,291
0.13,33,2.108,-44.16,1.077,-0.078,3.909,291
0.13,34,2.108,-44.16,1.077,-0.078,3.909,291
0.13,35,2.974,-39.34,0.776,3.912,3.837,290
0.13,36,2.974,-39.34,0.776,3.912,3.837,290
0.13,37,2.974,-39.34,0.776,3.912,3.837,290
0.13,38,2.974,-39.34,0.776,3.912,3.837,290
0.13,39,2.974,-39.34,0.776,3.912,3.837,290
0.13,40,2.526,-43.43,1.117,1.758,3.46,289
0.13,41,2.526,-43.43,1.117,1.758,3.46,289
0.13,42,2.526,-43.43,1.117,1.758,3.46,289
0.13,43,2.526,-43.43,1.117,1.758,3.46,289
0.13,44,2.526,-43.43,1.117,1.758,3.46,289
0.14,30,2.108,-44.16,1.077,-0.078,3.909,291
0.14,31,2.108,-44.16,1.077,-0.078,3.909,291
0.14,32,2.108,-44.16,1.077,-0.078,3.909,291
0.14,33,2.108,-44.16,1.077,-0.078,3.909,291
0.14,34,2.108,-44.16,1.077,-0.078,3.909,291
0.14,35,2.974,-39.34,0.776,3.912,3.837,290
0.14,36,2.974,-39.34,0.776,3.912,3.837,290
0.14,37,2.974,-39.34,0.776,3.912,3.837,290
0.14,38,2.974,-39.34,0.776,3.912,3.837,290
0.14,39,2.974,-39.34,0.776,3.912,3.837,290
0.14,40,2.526,-43.43,1.117,1.758,3.46,289
0.14,41,2.526,-43.43,1.117,1.758,3.46,289
0.14,42,2.526,-43.43,1.117,1.758,3.46,289
0.14,43,2.526,-43.43,1.117,1.758,3.46,289
0.14,44,2.526,-43.43,1.117,1.758,3.46,289
0.15,30,2.108,-44.16,1.077,-0.078,3.909,291
0.15,31,2.108,-44.16,1.077,-0.078,3.909,291
0.15,32,2.108,-44.16,1.077,-0.078,3.909,291
0.15,33,2.108,-44.16,1.077,-0.078,3.909,291
0.15,34,2.108,-44.16,1.077,-0.078,3.909,291
0.15,35,2.974,-39.34,0.776,3.912,3.837,290
0.15,36,2.974,-39.34,0.776,3.912,3.837,290
0.15,37,2.974,-39.34,0.776,3.912,3.837,290
0.15,38,2.974,-39.34,0.776,3.912,3.837,290
0.15,39,2.974,-39.34,0.776,3.912,3.837,290
0.15,40,2.526,-43.43,1.117,1.758,3.46,289
0.15,41,2.526,-43.43,1.117,1.758,3.46,289
0.15,42,2.526,-43.43,1.117,1.758,3.46,289
0.15,43,2.526,-43.43,1.117,1.758,3.46,289
0.15,44,2.526,-43.43,1.117,1.758,3.46,289
0.16,30,2.108,-44.16,1.077,-0.078,3.909,291
0.16,31,2.108,-44.16,1.077,-0.078,3.909,291
0.16,32,2.108,-44.16,1.077,-0.078,3.909,291
0.16,33,2.108,-44.16,1.077,-0.078,3.909,291
0.16,34,2.108,-44.16,1.077,-0.078,3.909,291
0.16,35,2.974,-39.34,0.776,3.912,3.837,290
0.16,36,2.974,-39.34,0.776,3.912,3.837,290
0.16,37,2.974,-39.34,0.776,3.912,3.837,290
0.16,38,2.974,-39.34,0.776,3.912,3.837,290
0.16,39,2.974,-39.34,0.776,3.912,3.837,290
0.16,40,2.526,-43.43,1.117,1.758,3.46,289
0.16,41,2.526,-43.43,1.117,1.758,3.46,289
0.16,42,2.526,-43.43,1.117,1.758,3.46,289
0.16,43,2.526,-43.43,1.117,1.758,3.46,289
0.16,44,2.526,-43.43,1.117,1.758,3.46,289
