window_days,min_cum_ret,start_idx,end_idx
1,-0.159445,233,233
3,-0.281820,72,74
7,-0.327030,228,234
14,-0.338855,270,283
21,-0.341440,264,284
30,-0.394845,264,293
40,-0.218515,264,303
50,-0.065065,264,313
60,-0.116160,264,323
70,-0.212905,273,342
80,-0.169730,264,343
90,0.007755,253,342
100,0.225170,243,342
