slippage_one_way_pct,round_trip_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
0.05,0.1,2.7115,-0.0783,1186.22,-40.09,29.59,Excellent
0.1,0.2,2.6329,-0.1569,1067.1,-40.49,26.36,Excellent
0.25,0.5,2.3946,-0.3951,771.42,-44.4,17.37,Strong
0.5,1.0,1.9907,-0.7991,434.47,-50.39,8.62,Marginal
1.0,2.0,1.1615,-1.6282,99.57,-62.93,1.58,Weak
