threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,3.1531,56,31.11,56,False,Robust plateau | baseline outside
0.975,3.2361,32,17.78,32,False,Robust plateau | baseline outside
0.99,3.2859,8,4.44,7,False,Robust plateau | baseline outside
