taxonomy,label,n_days,sharpe,cagr_pct,maxdd_pct,calmar,wf_cv
Volatility,Vol: Low  (rvol30 ≤ p33),274,2.7589,1287.42,-28.213,45.632,0.6697
Volatility,Vol: Mid  (p33 < rvol30 ≤ p67),75,4.1604,9210.97,-24.764,371.95,nan
Volatility,Vol: High (rvol30 > p67),49,1.5652,206.12,-30.599,6.736,nan
Volatility,Vol: Spike (5d/60d ratio > 1.5×),46,1.4617,82.62,-6.765,12.213,nan
BTC Dominance,DOM: Low  (BTC mom ≤ p33 — alt-season),158,2.4721,937.51,-32.571,28.783,nan
BTC Dominance,DOM: Mid  (neutral momentum),173,3.0444,1382.36,-28.213,48.997,nan
BTC Dominance,DOM: High (BTC mom > p67 — BTC dominant),67,3.6236,6373.66,-24.764,257.376,nan
Trend,Trend: Bull (21d BTC > +5%),92,3.1655,2927.08,-24.764,118.199,nan
Trend,Trend: Sideways (-5% to +5%),185,3.212,1401.54,-27.141,51.64,0.2458
Trend,Trend: Bear  (21d BTC < -5%),121,2.4672,1098.96,-30.073,36.543,nan
