threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,3.414,6,8.57,6,True,Robust plateau | baseline inside
0.975,3.5039,6,8.57,6,True,Robust plateau | baseline inside
0.99,3.5578,4,5.71,3,True,Robust plateau | baseline inside
