aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.4738,0.94761,2.8197,-0.7489,1230.38,-32.06,38.38,Excellent
143844,0.56826,1.13651,2.6654,-0.9032,1009.29,-33.39,30.23,Excellent
206913,0.68154,1.36308,2.4784,-1.0902,791.62,-34.95,22.65,Institutional
297635,0.81741,1.63482,2.2513,-1.3173,585.68,-36.79,15.92,Institutional
428133,0.98036,1.96073,1.9754,-1.5931,399.94,-38.93,10.27,Survival
615848,1.1758,2.35161,1.64,-1.9286,241.8,-42.26,5.72,Survival
885866,1.41021,2.82041,1.232,-2.3366,116.19,-50.57,2.3,Marginal
1274274,1.69134,3.38267,0.7367,-2.8319,24.45,-59.86,0.41,Unusable
1832980,2.02851,4.05702,0.1375,-3.4311,-36.09,-76.3,-0.47,Unusable
2636650,2.4329,4.8658,-0.5822,-4.1508,-71.44,-88.35,-0.81,Unusable
3792690,2.91791,5.83582,-1.4358,-5.0044,-89.23,-95.24,-0.94,Unusable
5455594,3.49961,6.99921,-2.4281,-5.9967,-96.7,-98.46,-0.98,Unusable
7847599,4.19727,8.39454,-3.5469,-7.1155,-99.22,-99.61,-1.0,Unusable
11288378,5.03401,10.06802,-4.7559,-8.3245,-99.86,-99.94,-1.0,Unusable
16237767,6.03756,12.07512,-5.9923,-9.5609,-99.98,-99.99,-1.0,Unusable
23357214,7.24117,14.48234,-7.1766,-10.7452,-100.0,-100.0,-1.0,Unusable
33598182,8.68473,17.36945,-8.2342,-11.8028,-100.0,-100.0,-1.0,Unusable
48329302,10.41606,20.83212,-9.1167,-12.6853,-100.0,-100.0,-1.0,Unusable
69519279,12.49255,24.98509,-9.8105,-13.3791,-100.0,-100.0,-1.0,Unusable
100000000,14.98298,29.96597,-10.3309,-13.8994,-100.0,-100.0,-1.0,Unusable
