period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.153266,0.011322,0.120254,-0.061507,0.36828,-0.14608,61,46
weekly,56,0.571429,0.077715,0.160089,-0.064234,0.543996,-0.122233,32,12
monthly,13,0.846154,0.379969,0.473148,-0.132511,1.305853,-0.13545,11,2
