surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,3.3944,8,12.5,8,True,Robust plateau | baseline inside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,3.4838,8,12.5,8,True,Robust plateau | baseline inside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,3.5374,8,12.5,8,True,Robust plateau | baseline inside
sl_tsl,PORT_SL,PORT_TSL,0.95,3.4808,96,53.33,84,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.975,3.5724,56,31.11,40,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.99,3.6274,13,7.22,13,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,3.3944,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.975,3.4838,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.99,3.5374,108,100.0,108,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,3.4327,132,66.67,132,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,3.5231,132,66.67,132,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,3.5773,55,27.78,44,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.95,3.4319,64,80.0,56,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.975,3.5222,56,70.0,32,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.99,3.5764,32,40.0,32,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,3.4319,64,80.0,56,True,Robust plateau | baseline inside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,3.5222,56,70.0,32,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,3.5764,32,40.0,32,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,3.3944,8,10.0,8,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,3.4838,8,10.0,8,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,3.5374,8,10.0,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,3.3944,8,8.33,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,3.4838,8,8.33,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,3.5374,8,8.33,8,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,3.414,6,8.57,6,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,3.5039,6,8.57,6,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,3.5578,4,5.71,3,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,3.4504,25,100.0,25,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,3.5412,13,52.0,9,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,3.5957,1,4.0,1,False,Single-cell peak | baseline outside
