mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,5.6215,0.0,5.6214,20286.99,-10.93,1.5753,1.5752,100
return_noise,0.003,5.6215,0.0001,5.6213,20287.03,-10.93,1.5753,1.5752,100
return_noise,0.005,5.6215,0.0002,5.621,20287.63,-10.93,1.5753,1.5751,100
return_noise,0.01,5.6215,0.0004,5.6203,20268.81,-10.93,1.5753,1.5749,100
signal_shuffle,0.02,3.5438,0.0701,3.333,3103.86,-28.53,0.9931,0.934,100
signal_shuffle,0.05,3.487,0.1365,3.0603,2933.82,-29.45,0.9771,0.8576,100
signal_shuffle,0.1,3.4046,0.1812,2.9842,2711.51,-29.82,0.954,0.8362,100
signal_shuffle,0.2,3.3239,0.2662,2.3872,2516.85,-31.62,0.9314,0.6689,100
ranking_noise,0.02,3.5234,0.1061,3.2416,3034.47,-29.6,0.9873,0.9084,100
ranking_noise,0.05,3.4695,0.2078,2.9354,2932.43,-31.31,0.9722,0.8226,100
ranking_noise,0.1,3.2847,0.2521,2.7257,2376.02,-34.34,0.9204,0.7638,100
