Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.3683,5.0,20.0,✓
5,5,1.2528,17.1,45.0,✓
10,10,2.251,30.7,65.0,✓
20,21,4.242,57.8,,
25,26,5.0318,68.6,,
