trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
184,2.178460,-0.061223,0.889691,37,0.003131,0.077092,631,3.205200,1599.500000,-28.842000,55.457000,0.673700
185,2.146581,-0.052704,0.809837,37,0.002734,0.069447,756,2.948000,974.040000,-30.402000,32.039000,0.812300
186,2.312437,-0.055634,0.988233,39,0.003234,0.102164,462,2.904400,2035.420000,-39.317000,51.770000,0.789700
187,2.396029,-0.058065,1.014453,36,0.001811,0.056775,824,3.727900,2060.770000,-26.635000,77.372000,0.744400
188,2.227574,-0.051478,0.965734,39,0.002991,0.087535,435,3.200600,2260.460000,-36.493000,61.943000,0.806300
189,2.326126,-0.056953,1.002266,34,0.003156,0.073465,524,2.112100,522.280000,-42.171000,12.385000,1.184300
190,2.320959,-0.059939,0.909852,40,0.004113,0.115606,540,2.550100,1139.490000,-40.530000,28.115000,1.022900
191,2.241480,-0.066807,0.866105,31,0.003746,0.088687,757,2.599600,912.750000,-29.272000,31.182000,0.674300
192,2.412143,-0.061930,0.879744,34,0.002802,0.062525,890,1.827300,294.180000,-40.580000,7.249000,1.051100
193,2.348595,-0.056119,0.847025,39,0.001858,0.091473,699,3.411100,3250.740000,-29.339000,110.799000,0.564300
194,2.283656,-0.053941,0.945449,34,0.003285,0.056887,698,1.981500,312.770000,-34.003000,9.198000,1.182100
195,2.209790,-0.054858,0.802698,32,0.002626,0.060970,978,1.684200,214.560000,-38.524000,5.569000,1.165600
196,2.158197,-0.065561,1.028093,31,0.003364,0.116741,797,2.241200,717.060000,-49.035000,14.623000,0.899500
197,2.168771,-0.058759,0.774693,35,0.004185,0.123027,455,2.681800,1224.790000,-49.361000,24.813000,1.960100
198,2.290551,-0.056432,1.008807,30,0.004046,0.114298,500,1.867300,404.320000,-53.067000,7.619000,1.797000
199,2.006323,-0.066025,0.807055,35,0.003998,0.094856,661,3.606500,2654.510000,-30.105000,88.173000,0.606500
200,2.175807,-0.052136,1.026563,33,0.002254,0.074595,987,2.039100,370.200000,-30.583000,12.105000,0.823100
201,2.021486,-0.066611,0.956118,38,0.004142,0.114635,975,3.080600,2035.120000,-37.185000,54.729000,0.761400
202,2.035852,-0.065324,0.912332,35,0.003957,0.123970,838,2.950000,1614.440000,-43.376000,37.220000,1.210400
203,2.192493,-0.059215,0.869312,34,0.002740,0.060462,477,2.323400,616.920000,-37.975000,16.245000,1.295000
204,2.323143,-0.059029,1.016285,36,0.001884,0.065342,551,3.003700,1504.800000,-34.981000,43.018000,0.833500
205,2.409324,-0.054937,0.904254,39,0.004145,0.071018,460,2.812100,1406.900000,-43.071000,32.665000,1.016300
206,2.047585,-0.052140,0.817684,36,0.003990,0.092680,793,3.499200,2252.150000,-29.313000,76.832000,0.635200
207,2.068822,-0.065411,0.931803,39,0.004077,0.079049,484,3.096500,1487.630000,-28.828000,51.605000,0.692800
208,2.079409,-0.058881,1.020337,34,0.003650,0.092914,537,2.504900,790.400000,-35.235000,22.432000,1.121700
209,2.121123,-0.062757,0.946670,34,0.002349,0.105977,529,1.996800,468.260000,-49.697000,9.422000,1.731900
210,2.392135,-0.054382,0.793974,35,0.003047,0.090590,684,3.411100,3314.350000,-29.821000,111.141000,0.553200
211,2.417719,-0.059753,0.894046,34,0.001960,0.096693,563,2.337200,872.870000,-42.947000,20.324000,0.985500
212,2.260548,-0.051915,1.029975,35,0.003952,0.088240,467,3.313600,2689.200000,-32.328000,83.184000,0.660100
213,2.341774,-0.062667,0.976074,34,0.003331,0.115648,795,2.152700,713.000000,-51.491000,13.847000,0.878500
214,2.132976,-0.062926,0.946401,40,0.002690,0.084606,900,2.648400,817.910000,-33.134000,24.685000,0.693700
215,2.202535,-0.064258,0.889122,32,0.003588,0.063443,546,1.882700,315.390000,-49.363000,6.389000,1.714500
216,2.255803,-0.064451,1.006566,33,0.002066,0.122835,521,1.999200,525.850000,-51.947000,10.123000,1.692600
217,2.066973,-0.056244,0.907936,39,0.003625,0.104987,533,3.014000,1806.440000,-37.168000,48.602000,0.776000
218,2.137380,-0.059611,0.804805,33,0.002540,0.063164,749,1.807300,251.520000,-41.818000,6.015000,1.242700
219,2.290212,-0.052259,0.894903,38,0.003595,0.112685,690,3.014200,2278.220000,-39.163000,58.173000,0.580100
220,2.341045,-0.055334,0.862419,32,0.002922,0.082228,571,2.297600,704.970000,-37.865000,18.618000,1.072400
221,2.310784,-0.056649,0.838657,31,0.002853,0.075813,645,2.054100,426.010000,-32.924000,12.939000,0.824900
222,2.083839,-0.064737,1.016101,35,0.003343,0.116436,1007,3.152700,2605.400000,-37.388000,69.686000,0.620100
223,2.249947,-0.067016,1.010324,38,0.002906,0.059843,441,3.234600,1889.150000,-29.946000,63.085000,0.742600
224,2.189968,-0.059898,0.874988,36,0.003125,0.114236,495,3.083900,2469.400000,-41.358000,59.708000,0.761700
225,2.079078,-0.065274,0.993916,40,0.003895,0.118073,613,2.287400,616.700000,-50.068000,12.317000,2.706800
226,2.156731,-0.055826,0.928701,39,0.002627,0.094104,603,3.399400,2659.030000,-33.105000,80.322000,0.633200
227,2.054712,-0.054513,0.780645,39,0.002767,0.114057,824,3.095000,2076.180000,-35.931000,57.782000,0.591100
228,2.064445,-0.054158,0.984237,33,0.003992,0.064084,822,1.644200,188.870000,-38.364000,4.923000,1.319500
