EARLY_KILL_Y,EARLY_INSTILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.001,0.001,3.632,4225.92,-30.824,-14.608,137.099,0.5906,False
0.001,0.0015,3.5809,3700.67,-30.824,-14.608,120.059,0.5363,False
0.001,0.002,3.5037,3128.59,-30.824,-14.608,101.499,0.5457,False
0.001,0.0025,3.4651,2848.7,-28.213,-14.608,100.97,0.6152,False
0.001,0.003,3.5731,3193.88,-28.213,-14.608,113.204,0.5675,False
0.0015,0.001,3.5809,3700.67,-30.824,-14.608,120.059,0.5363,False
0.0015,0.0015,3.5809,3700.67,-30.824,-14.608,120.059,0.5363,False
0.0015,0.002,3.5037,3128.59,-30.824,-14.608,101.499,0.5457,False
0.0015,0.0025,3.4651,2848.7,-28.213,-14.608,100.97,0.6152,False
0.0015,0.003,3.5731,3193.88,-28.213,-14.608,113.204,0.5675,False
0.002,0.001,3.5037,3128.59,-30.824,-14.608,101.499,0.5457,False
0.002,0.0015,3.5037,3128.59,-30.824,-14.608,101.499,0.5457,False
0.002,0.002,3.5037,3128.59,-30.824,-14.608,101.499,0.5457,False
0.002,0.0025,3.4651,2848.7,-28.213,-14.608,100.97,0.6152,False
0.002,0.003,3.5731,3193.88,-28.213,-14.608,113.204,0.5675,False
0.0025,0.001,3.4651,2848.7,-28.213,-14.608,100.97,0.6152,False
0.0025,0.0015,3.4651,2848.7,-28.213,-14.608,100.97,0.6152,False
0.0025,0.002,3.4651,2848.7,-28.213,-14.608,100.97,0.6152,False
0.0025,0.0025,3.4651,2848.7,-28.213,-14.608,100.97,0.6152,False
0.0025,0.003,3.5731,3193.88,-28.213,-14.608,113.204,0.5675,False
0.003,0.001,3.5731,3193.88,-28.213,-14.608,113.204,0.5675,False
0.003,0.0015,3.5731,3193.88,-28.213,-14.608,113.204,0.5675,False
0.003,0.002,3.5731,3193.88,-28.213,-14.608,113.204,0.5675,False
0.003,0.0025,3.5731,3193.88,-28.213,-14.608,113.204,0.5675,False
0.003,0.003,3.5731,3193.88,-28.213,-14.608,113.204,0.5675,True
