shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,3.5686,3193.88,-28.213,0.0,0.0,True
-10.0,1,3.6101,3324.18,-25.562,0.0415,2.652,True
-10.0,3,3.4383,2772.65,-38.163,-0.1302,-9.95,True
-10.0,5,3.254,2267.86,-49.912,-0.3146,-21.699,True
-20.0,1,3.492,2973.59,-33.432,-0.0766,-5.219,True
-20.0,3,3.102,1977.54,-56.57,-0.4666,-28.357,False
-20.0,5,2.7215,1279.75,-72.205,-0.8471,-43.992,False
-30.0,1,3.3548,2619.33,-41.753,-0.2138,-13.54,True
-30.0,3,2.74,1338.79,-70.905,-0.8285,-42.692,False
-30.0,5,2.1856,647.97,-85.744,-1.383,-57.53,False
-40.0,1,3.2031,2260.84,-50.074,-0.3655,-21.861,False
-40.0,3,2.3775,841.48,-81.678,-1.1911,-53.465,False
-40.0,5,1.6892,268.89,-93.404,-1.8794,-65.191,False
