L_HIGH,Sharpe,CAGR%,MaxDD%,Flat_days,IS_Sharpe,OOS_Sharpe,Decay%,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable,Fold5_Sharpe,Fold8_Sharpe
0.8,3.573,311.3,-10.97,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
0.9,3.573,385.0,-12.28,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
1.0,3.573,470.3,-13.58,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
1.1,3.573,569.0,-14.87,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
1.2,3.573,682.8,-16.14,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
1.3,3.573,813.7,-17.41,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
1.4,3.573,963.8,-18.66,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
1.5,3.573,1135.6,-19.89,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
1.6,3.573,1331.5,-21.12,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
1.7,3.573,1554.6,-22.33,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
1.8,3.573,1807.8,-23.53,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
1.9,3.573,2094.6,-24.72,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
2.0,3.573,2418.6,-25.9,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
2.1,3.573,2783.6,-27.06,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
2.2,3.573,3193.9,-28.21,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
2.3,3.573,3653.9,-29.35,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
2.4,3.573,4168.4,-30.48,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
2.5,3.573,4742.3,-31.6,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
2.6,3.573,5381.0,-32.7,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
2.7,3.573,6090.1,-33.8,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
2.8,3.573,6875.4,-34.88,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
2.9,3.573,7742.8,-35.95,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
3.0,3.573,8698.6,-37.01,291,3.573,,,0.568,3.881,88.9,1,3.668,6.876
