blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.5686,3193.88,-28.213,0.0,0.0
1,+130.6%,3.1022,1430.95,-30.143,-0.4664,-1762.93
2,"+130.6%, +64.1%",2.7204,871.97,-30.143,-0.8482,-2321.91
3,"+130.6%, +64.1%, +63.6%",2.3217,518.7,-30.143,-1.2469,-2675.18
