Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
AvgDailyRet%,level,1,0.0856,0.0966,0.1076,0.0365,378,yes
Sortino,level,1,0.0743,0.1494,0.0991,0.0542,378,
CAGR%,level,1,-0.0132,0.7979,0.0985,0.0557,378,
Sharpe,level,1,0.0717,0.164,0.0917,0.0748,378,
Calmar,level,1,-0.0312,0.5457,0.056,0.2778,378,
AvgDailyRet%,delta,1,0.0752,0.1449,0.042,0.4163,377,
Sharpe,delta,1,0.039,0.4506,0.0242,0.6402,377,
Sortino,delta,1,0.054,0.2959,0.0203,0.6938,377,
Calmar,delta,1,-0.0127,0.8061,0.0114,0.8259,377,
CAGR%,delta,1,-0.0046,0.9293,-0.0066,0.8991,377,
Sortino,delta,3,0.1032,0.0459,0.0985,0.0567,375,
AvgDailyRet%,delta,3,0.1116,0.0307,0.0898,0.0825,375,
AvgDailyRet%,level,3,0.1069,0.0383,0.0854,0.0982,376,
CAGR%,level,3,-0.0443,0.3916,0.0749,0.1473,376,
Sortino,level,3,0.0894,0.0834,0.071,0.1693,376,
Sharpe,delta,3,0.0605,0.2426,0.0635,0.2202,375,
Sharpe,level,3,0.0967,0.0611,0.0586,0.2568,376,
Calmar,delta,3,-0.0036,0.9452,0.0392,0.4495,375,
CAGR%,delta,3,0.01,0.8469,0.0115,0.8247,375,
Calmar,level,3,-0.0602,0.244,0.011,0.8322,376,
Sortino,delta,5,0.128,0.0133,0.1162,0.0248,373,yes
AvgDailyRet%,delta,5,0.1352,0.009,0.1111,0.032,373,yes
Sharpe,delta,5,0.1057,0.0413,0.0889,0.0866,373,
AvgDailyRet%,level,5,0.106,0.0405,0.0722,0.1633,374,
CAGR%,level,5,-0.0634,0.2214,0.058,0.2633,374,
Sortino,level,5,0.0798,0.1234,0.0519,0.3164,374,
Sharpe,level,5,0.1019,0.049,0.0446,0.3896,374,
Calmar,delta,5,-0.0081,0.8755,0.0398,0.4438,373,
CAGR%,delta,5,0.002,0.9694,0.039,0.4524,373,
Calmar,level,5,-0.0699,0.1776,-0.0278,0.5926,374,
