Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,delta,1,0.0086,0.869,0.0761,0.1457,367,
Sortino,delta,1,0.1018,0.0513,0.0744,0.155,367,
AvgDailyRet%,delta,1,0.0815,0.1191,0.0721,0.1683,367,
Sharpe,delta,1,0.0648,0.2156,0.0681,0.1931,367,
Calmar,delta,1,0.009,0.8629,0.0649,0.2149,367,
Calmar,level,1,-0.0421,0.4203,-0.0349,0.504,368,
AvgDailyRet%,level,1,-0.0095,0.8552,0.014,0.7885,368,
Sortino,level,1,-0.017,0.7457,0.0073,0.8886,368,
CAGR%,level,1,-0.0441,0.3991,0.0064,0.9024,368,
Sharpe,level,1,-0.0191,0.7153,0.0042,0.9363,368,
Calmar,level,3,-0.0788,0.1323,-0.1106,0.0344,366,yes
CAGR%,delta,3,0.0191,0.7161,0.0839,0.1095,365,
Calmar,delta,3,0.0204,0.6981,0.0741,0.1578,365,
Sharpe,level,3,-0.0464,0.3761,-0.0697,0.1835,366,
CAGR%,level,3,-0.0808,0.1229,-0.0651,0.2143,366,
Sortino,level,3,-0.0602,0.2505,-0.0632,0.2278,366,
AvgDailyRet%,level,3,-0.037,0.481,-0.0541,0.3023,366,
Sortino,delta,3,0.0947,0.0707,0.051,0.3312,365,
AvgDailyRet%,delta,3,0.0686,0.1911,0.0485,0.3551,365,
Sharpe,delta,3,0.0275,0.6005,0.0404,0.4416,365,
Calmar,level,5,-0.1168,0.0259,-0.1393,0.0078,364,yes
Sharpe,level,5,-0.0628,0.2317,-0.1021,0.0516,364,
Sortino,level,5,-0.0947,0.071,-0.0983,0.061,364,
CAGR%,level,5,-0.1182,0.0241,-0.0949,0.0704,364,
AvgDailyRet%,level,5,-0.0589,0.2626,-0.0828,0.1149,364,
CAGR%,delta,5,0.0043,0.9354,0.0492,0.3495,363,
Sortino,delta,5,0.0935,0.0753,0.0486,0.356,363,
Sharpe,delta,5,0.0482,0.3601,0.0466,0.3756,363,
AvgDailyRet%,delta,5,0.0756,0.1507,0.0455,0.3874,363,
Calmar,delta,5,0.0057,0.9133,0.0298,0.5708,363,
