blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.4621,5914.79,-37.953,0.0,0.0
1,+187.0%,2.9316,2186.94,-46.58,-0.5305,-3727.84
2,"+187.0%, +101.2%",2.5216,1104.49,-46.58,-0.9405,-4810.3
3,"+187.0%, +101.2%, +58.0%",2.2168,692.03,-46.58,-1.2453,-5222.76
