drop_pct,vol_mult,Sharpe,CAGR%,MaxDD%,Active,Flat,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable
0.02,1.4,2.786,1159.6,-29.57,101,297,0.714,2.939,88.9,1
0.023,1.4,2.826,1266.9,-29.68,104,294,0.78,2.996,77.8,2
0.024,1.4,2.826,1266.9,-29.68,104,294,0.78,2.996,77.8,2
0.025,1.4,2.797,1222.8,-29.68,105,293,0.793,2.95,77.8,2
0.026,1.4,2.797,1222.8,-29.68,105,293,0.793,2.95,77.8,2
0.027,1.4,2.793,1227.1,-29.68,109,289,0.798,2.931,77.8,2
0.028,1.4,2.793,1227.1,-29.68,109,289,0.798,2.931,77.8,2
0.029,1.4,2.883,1386.5,-29.68,110,288,0.791,3.068,77.8,2
0.03,1.4,3.002,1646.8,-29.68,111,287,0.791,3.068,77.8,2
0.031,1.4,2.947,1544.7,-29.68,112,286,0.791,3.068,77.8,2
0.032,1.4,2.947,1544.7,-29.68,112,286,0.791,3.068,77.8,2
0.033,1.4,2.942,1543.2,-33.51,114,284,0.791,3.068,77.8,2
0.034,1.4,2.942,1543.2,-33.51,114,284,0.791,3.068,77.8,2
0.035,1.4,2.942,1543.2,-33.51,114,284,0.791,3.068,77.8,2
0.04,1.4,2.919,1549.0,-33.51,116,282,0.752,3.044,77.8,2
