window_days,min_cum_ret,start_idx,end_idx
1,-0.235070,200,200
3,-0.287691,198,200
7,-0.324790,38,44
14,-0.428356,34,47
21,-0.355341,180,200
30,-0.437016,173,202
40,-0.227411,161,200
50,-0.260466,158,207
60,0.035819,145,204
70,0.383089,136,205
80,0.597407,121,200
90,0.597407,117,206
100,0.686418,104,203
