L_BASE,L_HIGH,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.0,0.6,3.7396,268.49,-8.88,-4.802,30.235,0.4327,False
0.0,0.8,3.7388,452.22,-11.659,-6.402,38.787,0.4327,False
0.0,1.0,3.741,718.21,-14.42,-8.003,49.805,0.4334,False
0.0,1.2,3.741,1095.17,-17.122,-9.604,63.962,0.4334,False
0.0,1.4,3.741,1623.34,-19.765,-11.204,82.133,0.4334,False
0.0,1.5,3.741,1959.58,-21.064,-12.004,93.028,0.4334,False
0.0,1.6,3.741,2353.75,-22.349,-12.805,105.316,0.4334,False
0.0,1.8,3.741,3350.9,-24.876,-14.405,134.702,0.4334,False
0.0,2.0,3.741,4695.09,-27.346,-16.006,171.689,0.4334,False
0.1,0.6,3.7396,268.49,-8.88,-4.802,30.235,0.4327,False
0.1,0.8,3.7388,452.22,-11.659,-6.402,38.787,0.4327,False
0.1,1.0,3.741,718.21,-14.42,-8.003,49.805,0.4334,False
0.1,1.2,3.741,1095.17,-17.122,-9.604,63.962,0.4334,False
0.1,1.4,3.741,1623.34,-19.765,-11.204,82.133,0.4334,False
0.1,1.5,3.741,1959.58,-21.064,-12.004,93.028,0.4334,False
0.1,1.6,3.741,2353.75,-22.349,-12.805,105.316,0.4334,False
0.1,1.8,3.741,3350.9,-24.876,-14.405,134.702,0.4334,False
0.1,2.0,3.741,4695.09,-27.346,-16.006,171.689,0.4334,False
0.2,0.6,3.7396,268.49,-8.88,-4.802,30.235,0.4327,False
0.2,0.8,3.7388,452.22,-11.659,-6.402,38.787,0.4327,False
0.2,1.0,3.741,718.21,-14.42,-8.003,49.805,0.4334,False
0.2,1.2,3.741,1095.17,-17.122,-9.604,63.962,0.4334,False
0.2,1.4,3.741,1623.34,-19.765,-11.204,82.133,0.4334,False
0.2,1.5,3.741,1959.58,-21.064,-12.004,93.028,0.4334,False
0.2,1.6,3.741,2353.75,-22.349,-12.805,105.316,0.4334,False
0.2,1.8,3.741,3350.9,-24.876,-14.405,134.702,0.4334,False
0.2,2.0,3.741,4695.09,-27.346,-16.006,171.689,0.4334,False
