shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,3.4621,5914.79,-37.953,0.0,0.0,True
-10.0,1,3.4264,5638.34,-41.056,-0.0357,-3.103,True
-10.0,3,3.2846,4629.98,-52.255,-0.1775,-14.302,False
-10.0,5,3.1444,3798.81,-61.327,-0.3177,-23.374,False
-20.0,1,3.3413,5050.81,-47.605,-0.1208,-9.652,True
-20.0,3,3.0378,3320.78,-66.467,-0.4243,-28.514,False
-20.0,5,2.7465,2171.83,-78.539,-0.7156,-40.586,False
-30.0,1,3.2442,4457.13,-54.155,-0.2179,-16.202,False
-30.0,3,2.7699,2269.05,-77.536,-0.6922,-39.583,False
-30.0,5,2.3338,1131.57,-88.993,-1.1283,-51.04,False
-40.0,1,3.1371,3856.36,-60.704,-0.325,-22.751,False
-40.0,3,2.4936,1450.2,-85.853,-0.9685,-47.9,False
-40.0,5,1.9316,507.41,-94.907,-1.5305,-56.954,False
