EARLY_KILL_X,EARLY_KILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
15,0.0,2.2393,1009.48,-66.255,-28.765,15.236,0.876,False
15,0.0005,2.2393,1009.48,-66.255,-28.765,15.236,0.876,False
15,0.0008,2.2393,1009.48,-66.255,-28.765,15.236,0.876,False
15,0.001,2.2393,1009.48,-66.255,-28.765,15.236,0.876,False
15,0.0015,2.2393,1009.48,-66.255,-28.765,15.236,0.876,False
15,0.002,2.2393,1009.48,-66.255,-28.765,15.236,0.876,False
15,0.0025,2.2393,1009.48,-66.255,-28.765,15.236,0.876,False
15,0.003,2.2393,1009.48,-66.255,-28.765,15.236,0.876,False
20,0.0,1.8832,561.61,-71.543,-27.489,7.85,0.8552,False
20,0.0005,1.8832,561.61,-71.543,-27.489,7.85,0.8552,False
20,0.0008,1.8832,561.61,-71.543,-27.489,7.85,0.8552,False
20,0.001,1.8832,561.61,-71.543,-27.489,7.85,0.8552,False
20,0.0015,1.8832,561.61,-71.543,-27.489,7.85,0.8552,False
20,0.002,1.8832,561.61,-71.543,-27.489,7.85,0.8552,False
20,0.0025,1.8832,561.61,-71.543,-27.489,7.85,0.8552,False
20,0.003,1.8832,561.61,-71.543,-27.489,7.85,0.8552,False
25,0.0,2.6458,1750.44,-51.965,-27.181,33.685,0.236,False
25,0.0005,2.6458,1750.44,-51.965,-27.181,33.685,0.236,False
25,0.0008,2.6458,1750.44,-51.965,-27.181,33.685,0.236,False
25,0.001,2.6458,1750.44,-51.965,-27.181,33.685,0.236,False
25,0.0015,2.6458,1750.44,-51.965,-27.181,33.685,0.236,False
25,0.002,2.6458,1750.44,-51.965,-27.181,33.685,0.236,False
25,0.0025,2.6458,1750.44,-51.965,-27.181,33.685,0.236,False
25,0.003,2.6458,1750.44,-51.965,-27.181,33.685,0.236,False
30,0.0,2.8346,2482.53,-39.101,-29.271,63.491,0.4959,False
30,0.0005,2.8346,2482.53,-39.101,-29.271,63.491,0.4959,False
30,0.0008,2.8346,2482.53,-39.101,-29.271,63.491,0.4959,False
30,0.001,2.8346,2482.53,-39.101,-29.271,63.491,0.4959,False
30,0.0015,2.8346,2482.53,-39.101,-29.271,63.491,0.4959,False
30,0.002,2.8346,2482.53,-39.101,-29.271,63.491,0.4959,False
30,0.0025,2.8346,2482.53,-39.101,-29.271,63.491,0.4959,False
30,0.003,2.8346,2482.53,-39.101,-29.271,63.491,0.4959,False
35,0.0,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
35,0.0005,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
35,0.0008,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
35,0.001,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
35,0.0015,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
35,0.002,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
35,0.0025,3.741,6484.63,-29.76,-17.606,217.894,0.4334,False
35,0.003,3.741,6484.63,-29.76,-17.606,217.894,0.4334,True
40,0.0,2.9661,2663.18,-48.338,-16.841,55.095,0.5564,False
40,0.0005,2.9661,2663.18,-48.338,-16.841,55.095,0.5564,False
40,0.0008,2.9661,2663.18,-48.338,-16.841,55.095,0.5564,False
40,0.001,2.9661,2663.18,-48.338,-16.841,55.095,0.5564,False
40,0.0015,2.9661,2663.18,-48.338,-16.841,55.095,0.5564,False
40,0.002,2.9661,2663.18,-48.338,-16.841,55.095,0.5564,False
40,0.0025,2.9661,2663.18,-48.338,-16.841,55.095,0.5564,False
40,0.003,2.9661,2663.18,-48.338,-16.841,55.095,0.5564,False
45,0.0,3.2056,3903.54,-42.51,-18.174,91.827,0.5443,False
45,0.0005,3.2056,3903.54,-42.51,-18.174,91.827,0.5443,False
45,0.0008,3.2056,3903.54,-42.51,-18.174,91.827,0.5443,False
45,0.001,3.2056,3903.54,-42.51,-18.174,91.827,0.5443,False
45,0.0015,3.2056,3903.54,-42.51,-18.174,91.827,0.5443,False
45,0.002,3.2056,3903.54,-42.51,-18.174,91.827,0.5443,False
45,0.0025,3.2056,3903.54,-42.51,-18.174,91.827,0.5443,False
45,0.003,3.2056,3903.54,-42.51,-18.174,91.827,0.5443,False
50,0.0,2.8738,2504.09,-44.631,-24.925,56.106,0.6159,False
50,0.0005,2.8738,2504.09,-44.631,-24.925,56.106,0.6159,False
50,0.0008,2.8738,2504.09,-44.631,-24.925,56.106,0.6159,False
50,0.001,2.8738,2504.09,-44.631,-24.925,56.106,0.6159,False
50,0.0015,2.8738,2504.09,-44.631,-24.925,56.106,0.6159,False
50,0.002,2.8738,2504.09,-44.631,-24.925,56.106,0.6159,False
50,0.0025,2.8738,2504.09,-44.631,-24.925,56.106,0.6159,False
50,0.003,2.8738,2504.09,-44.631,-24.925,56.106,0.6159,False
