period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.148241,0.018388,0.199503,-0.090866,0.5352,-0.32055,59,49
weekly,56,0.535714,0.132992,0.312171,-0.119849,1.131912,-0.369305,30,16
monthly,13,0.692308,0.720048,1.104993,-0.146079,3.474853,-0.178194,9,4
