blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.5342,16123.45,-49.125,0.0,0.0
1,+347.5%,2.9266,4005.1,-51.334,-0.6076,-12118.35
2,"+347.5%, +145.0%",2.5053,1704.93,-51.334,-1.0289,-14418.52
3,"+347.5%, +145.0%, +112.9%",2.127,802.59,-51.334,-1.4071,-15320.86
