mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,5.679,0.0,5.6789,101252.88,-10.0,1.4718,1.4717,100
return_noise,0.003,5.679,0.0001,5.6787,101254.18,-10.0,1.4718,1.4717,100
return_noise,0.005,5.679,0.0002,5.6785,101253.8,-10.0,1.4718,1.4716,100
return_noise,0.01,5.679,0.0004,5.678,101138.69,-10.0,1.4718,1.4715,100
signal_shuffle,0.02,3.8107,0.0997,3.4288,18127.26,-41.47,0.9876,0.8886,100
signal_shuffle,0.05,3.7558,0.1286,3.3984,16995.89,-41.58,0.9734,0.8807,100
signal_shuffle,0.1,3.6644,0.2187,3.2225,15598.04,-43.13,0.9497,0.8351,100
signal_shuffle,0.2,3.5277,0.2756,2.8097,13740.82,-45.71,0.9142,0.7282,100
ranking_noise,0.02,3.788,0.1179,3.3761,18505.55,-42.75,0.9817,0.8749,100
ranking_noise,0.05,3.6964,0.2446,2.8363,17567.25,-45.32,0.958,0.7351,100
ranking_noise,0.1,3.4858,0.2687,2.8598,13960.03,-48.72,0.9034,0.7412,100
