Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.5352,4.5,20.0,✓
5,5,2.331,19.8,45.0,✓
10,10,4.1423,35.2,65.0,✓
20,21,7.1762,61.0,,
25,27,8.6212,73.2,,
