surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,3.6703,8,12.5,8,True,Robust plateau | baseline inside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,3.7669,8,12.5,8,True,Robust plateau | baseline inside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,3.8249,8,12.5,8,True,Robust plateau | baseline inside
sl_tsl,PORT_SL,PORT_TSL,0.95,3.7095,86,47.78,84,True,Robust plateau | baseline inside
sl_tsl,PORT_SL,PORT_TSL,0.975,3.8071,66,36.67,57,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.99,3.8657,33,18.33,32,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,3.6703,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.975,3.7669,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.99,3.8249,108,100.0,108,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,3.6834,132,66.67,132,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,3.7804,132,66.67,132,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,3.8385,99,50.0,88,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.95,3.6703,64,80.0,56,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.975,3.7669,56,70.0,56,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.99,3.8249,56,70.0,56,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,3.6703,64,80.0,56,True,Robust plateau | baseline inside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,3.7669,56,70.0,56,True,Robust plateau | baseline inside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,3.8249,56,70.0,56,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,3.6703,16,20.0,16,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,3.7669,8,10.0,8,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,3.8249,8,10.0,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,3.6703,16,16.67,16,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,3.7669,8,8.33,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,3.8249,8,8.33,8,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,3.7024,11,15.71,11,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,3.7999,7,10.0,7,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,3.8583,5,7.14,3,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,3.7029,25,100.0,25,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,3.8004,13,52.0,9,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,3.8588,10,40.0,9,True,Robust plateau | baseline inside
