L_HIGH,Sharpe,CAGR%,MaxDD%,Flat_days,IS_Sharpe,OOS_Sharpe,Decay%,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable,Fold5_Sharpe,Fold8_Sharpe
0.8,3.528,129.5,-6.74,296,3.528,,,0.62,3.8,88.9,1,5.277,6.756
0.9,3.587,178.5,-8.47,296,3.587,,,0.62,3.8,88.9,1,5.277,6.756
1.0,3.628,243.9,-10.38,296,3.628,,,0.62,3.8,88.9,1,5.277,6.756
1.1,3.658,331.7,-12.46,296,3.658,,,0.62,3.8,88.9,1,5.277,6.756
1.2,3.678,450.3,-14.7,296,3.678,,,0.62,3.8,88.9,1,5.277,6.756
1.3,3.693,611.3,-17.09,296,3.693,,,0.62,3.8,88.9,1,5.277,6.756
1.4,3.703,831.2,-19.61,296,3.703,,,0.62,3.8,88.9,1,5.277,6.756
1.5,3.709,1133.1,-22.26,296,3.709,,,0.62,3.8,88.9,1,5.277,6.756
1.6,3.745,1441.6,-23.94,296,3.745,,,0.602,3.844,88.9,1,5.243,6.76
1.7,3.776,1823.9,-25.64,296,3.776,,,0.586,3.887,88.9,1,5.256,6.758
1.8,3.79,2232.3,-27.35,296,3.79,,,0.574,3.912,88.9,1,5.313,6.723
1.9,3.806,2737.6,-28.58,296,3.806,,,0.569,3.929,88.9,1,5.378,6.68
2.0,3.815,3317.4,-29.79,296,3.815,,,0.565,3.937,88.9,1,5.375,6.636
2.1,3.823,4016.9,-30.98,296,3.823,,,0.56,3.944,88.9,1,5.369,6.594
2.2,3.836,4829.5,-32.15,296,3.836,,,0.553,3.96,88.9,1,5.379,6.557
2.3,3.845,5803.9,-33.31,296,3.845,,,0.546,3.974,88.9,1,5.376,6.519
2.4,3.852,6960.1,-34.46,296,3.852,,,0.541,3.982,88.9,1,5.372,6.48
2.5,3.856,8288.9,-35.58,296,3.856,,,0.542,3.978,88.9,1,5.372,6.443
2.6,3.861,9876.7,-36.7,296,3.861,,,0.543,3.975,88.9,1,5.372,6.421
2.7,3.864,11757.8,-37.8,296,3.864,,,0.544,3.972,88.9,1,5.368,6.398
2.8,3.865,13963.6,-38.89,296,3.865,,,0.545,3.967,88.9,1,5.36,6.368
2.9,3.863,16498.0,-39.96,296,3.863,,,0.545,3.96,88.9,1,5.347,6.32
3.0,3.863,19567.2,-41.02,296,3.863,,,0.545,3.958,88.9,1,5.334,6.273
