aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.60097,1.20194,2.9516,-0.5826,5018.36,-51.98,96.54,Excellent
143844,0.72077,1.44154,2.8324,-0.7018,3960.07,-52.54,75.37,Excellent
206913,0.86446,1.72892,2.6881,-0.846,2972.97,-53.2,55.88,Excellent
297635,1.0368,2.0736,2.5134,-1.0208,2097.87,-53.98,38.86,Excellent
428133,1.24349,2.48697,2.3015,-1.2327,1368.11,-54.91,24.92,Institutional
615848,1.49138,2.98276,2.0442,-1.49,802.83,-56.0,14.34,Institutional
885866,1.78869,3.57739,1.7315,-1.8027,402.28,-57.39,7.01,Survival
1274274,2.14528,4.29055,1.3514,-2.1828,147.43,-61.22,2.41,Marginal
1832980,2.57295,5.14589,0.8898,-2.6444,5.11,-74.08,0.07,Unusable
2636650,3.08587,6.17175,0.3307,-3.2035,-62.73,-89.13,-0.7,Unusable
3792690,3.70106,7.40211,-0.3425,-3.8767,-89.41,-96.55,-0.93,Unusable
5455594,4.43888,8.87775,-1.1448,-4.679,-97.71,-99.19,-0.99,Unusable
7847599,5.32378,10.64757,-2.0849,-5.6191,-99.65,-99.86,-1.0,Unusable
11288378,6.3851,12.7702,-3.1581,-6.6922,-99.96,-99.99,-1.0,Unusable
16237767,7.658,15.31599,-4.338,-7.8722,-100.0,-100.0,-1.0,Unusable
23357214,9.18465,18.36929,-5.5721,-9.1063,-100.0,-100.0,-1.0,Unusable
33598182,11.01564,22.03129,-6.7859,-10.3201,-100.0,-100.0,-1.0,Unusable
48329302,13.21166,26.42331,-7.9004,-11.4346,-100.0,-100.0,-1.0,Unusable
69519279,15.84545,31.6909,-8.8555,-12.3897,-100.0,-100.0,-1.0,Unusable
100000000,19.0043,38.00861,-9.624,-13.1582,-100.0,-100.0,-1.0,Unusable
